iter	Logloss
0	0.6283238345
1	0.5750984172
2	0.5282719786
3	0.4859044855
4	0.445565054
5	0.4097664756
6	0.3854713355
7	0.3622552178
8	0.3396988378
9	0.3210811486
10	0.2991505737
11	0.2818896547
12	0.2698483984
13	0.257107633
14	0.2470437082
15	0.2348976226
16	0.2235123329
17	0.2146365977
18	0.2053708649
19	0.1983060258
20	0.191620185
21	0.1861935237
22	0.181167558
23	0.1701794426
24	0.1642470743
25	0.1592516671
26	0.1540232826
27	0.1499442754
28	0.1458174203
29	0.1421543573
30	0.1390946661
31	0.1360835255
32	0.1322658102
33	0.1296365416
34	0.1240581242
35	0.1186061807
36	0.1161768981
37	0.1110603794
38	0.1092088444
39	0.1050524904
40	0.1014310991
41	0.09993863257
42	0.09673507109
43	0.09497677039
44	0.09340035804
45	0.09154406502
46	0.09058577243
47	0.08896162109
48	0.08790561904
49	0.08657221139
50	0.08561689481
51	0.08477736726
52	0.08380957341
53	0.08156159428
54	0.0806386598
55	0.07876522799
56	0.07757695675
57	0.07686953893
58	0.07602687793
59	0.07525907738
60	0.074559833
61	0.07368341229
62	0.07311584718
63	0.07175873157
64	0.07031215557
65	0.06958586265
66	0.06900259857
67	0.06843628399
68	0.06768670835
69	0.06709352557
70	0.0664388445
71	0.0658660762
72	0.06547918715
73	0.06497258017
74	0.06447261892
75	0.0641145086
76	0.06372504974
77	0.06335516233
78	0.06289678418
79	0.06254451933
80	0.06216013185
81	0.06175585139
82	0.06136886334
83	0.06039369215
84	0.06003001285
85	0.0596427155
86	0.05925312596
87	0.05888871211
88	0.05849426153
89	0.05824627245
90	0.05799472353
91	0.05771034418
92	0.05746628689
93	0.057071033
94	0.05660459372
95	0.05631079112
96	0.05600300637
97	0.0556844164
98	0.05536555824
99	0.05510941002
100	0.05486671877
101	0.05457121497
102	0.0541734785
103	0.0538421149
104	0.05352876598
105	0.05325580731
106	0.05291815754
107	0.05255541204
108	0.05231432069
109	0.05205052817
110	0.05174813756
111	0.05147537055
112	0.0507452647
113	0.0506098515
114	0.05032158301
115	0.05017316204
116	0.04992086378
117	0.04969306745
118	0.04952323057
119	0.04922268183
120	0.0489698907
121	0.04879918983
122	0.04864203462
123	0.04847021213
124	0.04820531227
125	0.04813133013
126	0.0479513338
127	0.04778464018
128	0.04746254943
129	0.0471790411
130	0.04690183947
131	0.04675518662
132	0.04646521406
133	0.04629850197
134	0.04615375819
135	0.04584621794
136	0.04557632114
137	0.04529731398
138	0.0451023692
139	0.04495589553
140	0.04471220227
141	0.04442283328
142	0.04431111948
143	0.04418550545
144	0.04407338991
145	0.04388795489
146	0.04378162309
147	0.04365939217
148	0.04346407614
149	0.04334926739
150	0.04308054514
151	0.04288083241
152	0.04273024109
153	0.04259171204
154	0.04238188479
155	0.04210628053
156	0.04195662278
157	0.04181068879
158	0.04161189779
159	0.04151968274
160	0.04137745713
161	0.04124861617
162	0.04101869697
163	0.04081698067
164	0.04069666522
165	0.04055955328
166	0.04046131981
167	0.04029606513
168	0.04008513009
169	0.03996476685
170	0.03978458078
171	0.03958733863
172	0.03947850708
173	0.03930590032
174	0.03903867388
