Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,MCC
Extra Trees,0.9915,0.8148148148148148,0.9705882352941176,0.8859060402684564,0.994896328096456,0.8851666547316352
XGBoost,0.99,0.8,0.9411764705882353,0.8648648648648649,0.9957222019242479,0.8627701818188978
LightGBM,0.988,0.7558139534883721,0.9558823529411765,0.8441558441558441,0.9982645232005846,0.8442586333112366
CatBoost,0.9875,0.7529411764705882,0.9411764705882353,0.8366013071895425,0.9966812812081355,0.8357769893974674
Random Forest,0.986,0.7222222222222222,0.9558823529411765,0.8227848101265823,0.9931075691146023,0.8243378495022103
Logistic Regression,0.9605,0.46153846153846156,0.9705882352941176,0.6255924170616114,0.986656619169407,0.6546500950476899
