Model,CV_F1,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
Logistic Regression,0.9537983372750771,0.967,0.5079365079365079,0.9411764705882353,0.6597938144329897,0.9858649981731824,0.67809824723349
Random Forest,0.9926290903084647,0.9925,0.8354430379746836,0.9705882352941176,0.8979591836734694,0.9961979356960176,0.8967977337053186
Extra Trees,0.9955367043917533,0.996,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.9949610278894166,0.9411989581167997
XGBoost,0.9952146576505843,0.991,0.8205128205128205,0.9411764705882353,0.8767123287671232,0.9931418219461698,0.8742756729774158
LightGBM,0.9954106558958443,0.994,0.868421052631579,0.9705882352941176,0.9166666666666666,0.9917488734624283,0.9150851200527502
CatBoost,0.995083030789185,0.994,0.8783783783783784,0.9558823529411765,0.9154929577464789,0.99499147485081,0.9132649720000157
